CREATEDATE	SITE	TH_TT	ST	TH_UU	ST	TH_TD	ST	TAMAX_06-18	ST	TAMIN_18-06	ST
1.1.2022 0:00	MET_GARDEN	9,8	 	89	 	8,09	 	12,6	 	9,1	 
1.1.2022 0:01	MET_GARDEN	9,8	 	89	 	8,09	 	12,6	 	9,1	 
1.1.2022 0:02	MET_GARDEN	9,8	 	89	 	8,09	 	12,6	 	9,1	 
1.1.2022 0:03	MET_GARDEN	9,8	 	89	 	8,09	 	12,6	 	9,1	 
1.1.2022 0:04	MET_GARDEN	9,7	 	89	 	7,99	 	12,6	 	9,1	 
1.1.2022 0:05	MET_GARDEN	9,8	 	89	 	8,09	 	12,6	 	9,1	 
1.1.2022 0:06	MET_GARDEN	9,8	 	89	 	8,09	 	12,6	 	9,1	 
1.1.2022 0:07	MET_GARDEN	9,9	 	89	 	8,18	 	12,6	 	9,1	 
1.1.2022 0:08	MET_GARDEN	9,9	 	89	 	8,18	 	12,6	 	9,1	 
1.1.2022 0:09	MET_GARDEN	10	 	88	 	8,12	 	12,6	 	9,1	 
1.1.2022 0:10	MET_GARDEN	10	 	88	 	8,12	 	12,6	 	9,1	 
1.1.2022 0:11	MET_GARDEN	10,1	 	88	 	8,22	 	12,6	 	9,1	 
1.1.2022 0:12	MET_GARDEN	10,1	 	88	 	8,22	 	12,6	 	9,1	 
1.1.2022 0:13	MET_GARDEN	10,1	 	88	 	8,22	 	12,6	 	9,1	 
1.1.2022 0:14	MET_GARDEN	10,2	 	87	 	8,15	 	12,6	 	9,1	 
1.1.2022 0:15	MET_GARDEN	10,2	 	87	 	8,15	 	12,6	 	9,1	 
1.1.2022 0:16	MET_GARDEN	10,2	 	87	 	8,15	 	12,6	 	9,1	 
1.1.2022 0:17	MET_GARDEN	10,2	 	87	 	8,15	 	12,6	 	9,1	 
1.1.2022 0:18	MET_GARDEN	10,2	 	87	 	8,15	 	12,6	 	9,1	 
1.1.2022 0:19	MET_GARDEN	10,2	 	87	 	8,15	 	12,6	 	9,1	 
1.1.2022 0:20	MET_GARDEN	10,2	 	87	 	8,15	 	12,6	 	9,1	 
1.1.2022 0:21	MET_GARDEN	10,1	 	87	 	8,05	 	12,6	 	9,1	 
1.1.2022 0:22	MET_GARDEN	10,1	 	87	 	8,05	 	12,6	 	9,1	 
1.1.2022 0:23	MET_GARDEN	10,1	 	88	 	8,22	 	12,6	 	9,1	 
1.1.2022 0:24	MET_GARDEN	10	 	88	 	8,12	 	12,6	 	9,1	 
1.1.2022 0:25	MET_GARDEN	10	 	88	 	8,12	 	12,6	 	9,1	 
1.1.2022 0:26	MET_GARDEN	10	 	88	 	8,12	 	12,6	 	9,1	 
1.1.2022 0:27	MET_GARDEN	10,1	 	88	 	8,22	 	12,6	 	9,1	 
1.1.2022 0:28	MET_GARDEN	10,1	 	88	 	8,22	 	12,6	 	9,1	 
1.1.2022 0:29	MET_GARDEN	10,1	 	88	 	8,22	 	12,6	 	9,1	 
1.1.2022 0:30	MET_GARDEN	10,1	 	88	 	8,22	 	12,6	 	9,1	 
1.1.2022 0:31	MET_GARDEN	10,1	 	88	 	8,22	 	12,6	 	9,1	 
1.1.2022 0:32	MET_GARDEN	10,2	 	88	 	8,32	 	12,6	 	9,1	 
1.1.2022 0:33	MET_GARDEN	10,2	 	88	 	8,32	 	12,6	 	9,1	 
1.1.2022 0:34	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:35	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:36	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:37	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:38	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:39	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:40	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 0:41	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 0:42	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:43	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:44	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:45	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 0:46	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 0:47	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:48	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:49	MET_GARDEN	10,2	 	87	 	8,15	 	12,6	 	9,1	 
1.1.2022 0:50	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 0:51	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 0:52	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 0:53	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 0:54	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 0:55	MET_GARDEN	10,5	 	87	 	8,44	 	12,6	 	9,1	 
1.1.2022 0:56	MET_GARDEN	10,5	 	86	 	8,27	 	12,6	 	9,1	 
1.1.2022 0:57	MET_GARDEN	10,5	 	86	 	8,27	 	12,6	 	9,1	 
1.1.2022 0:58	MET_GARDEN	10,4	 	86	 	8,18	 	12,6	 	9,1	 
1.1.2022 0:59	MET_GARDEN	10,4	 	86	 	8,18	 	12,6	 	9,1	 
1.1.2022 1:00	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:01	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 1:02	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 1:03	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 1:04	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 1:05	MET_GARDEN	10,3	 	88	 	8,41	 	12,6	 	9,1	 
1.1.2022 1:06	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 1:07	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 1:08	MET_GARDEN	10,2	 	88	 	8,32	 	12,6	 	9,1	 
1.1.2022 1:09	MET_GARDEN	10,2	 	88	 	8,32	 	12,6	 	9,1	 
1.1.2022 1:10	MET_GARDEN	10,2	 	88	 	8,32	 	12,6	 	9,1	 
1.1.2022 1:11	MET_GARDEN	10,3	 	88	 	8,41	 	12,6	 	9,1	 
1.1.2022 1:12	MET_GARDEN	10,3	 	88	 	8,41	 	12,6	 	9,1	 
1.1.2022 1:13	MET_GARDEN	10,4	 	88	 	8,51	 	12,6	 	9,1	 
1.1.2022 1:14	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:15	MET_GARDEN	10,3	 	87	 	8,25	 	12,6	 	9,1	 
1.1.2022 1:16	MET_GARDEN	10,3	 	88	 	8,41	 	12,6	 	9,1	 
1.1.2022 1:17	MET_GARDEN	10,2	 	88	 	8,32	 	12,6	 	9,1	 
1.1.2022 1:18	MET_GARDEN	10,2	 	88	 	8,32	 	12,6	 	9,1	 
1.1.2022 1:19	MET_GARDEN	10,2	 	88	 	8,32	 	12,6	 	9,1	 
1.1.2022 1:20	MET_GARDEN	10,3	 	88	 	8,41	 	12,6	 	9,1	 
1.1.2022 1:21	MET_GARDEN	10,3	 	88	 	8,41	 	12,6	 	9,1	 
1.1.2022 1:22	MET_GARDEN	10,3	 	88	 	8,41	 	12,6	 	9,1	 
1.1.2022 1:23	MET_GARDEN	10,3	 	88	 	8,41	 	12,6	 	9,1	 
1.1.2022 1:24	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:25	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:26	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:27	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:28	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:29	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:30	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:31	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:32	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:33	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
1.1.2022 1:34	MET_GARDEN	10,4	 	87	 	8,35	 	12,6	 	9,1	 
