CREATEDATE	SITE	WSINS (KT)	ST	WS2M (KT)	WS2A (KT)	WS2X (KT)	WS10M (KT)	WS10A (KT)	WS10X (KT)	WDINS	WD2M	WD2A	WD2X	WD10M	WD10A	WD10X	GUST_SPEED (KT)	GUST_DIR	WDVAR	CW2A (KT)	HW2A (KT)	STATUS	WIND DATA
2022-01-27 00:00:00	06	10,89	 	7,58	9,75	12,25	7,58	9,91	12,63	245	242	251	260	242	255	268	12,63	255	0	-1,02	-9,70	A	$PBMWV,245,R,5,6,M,A*32\r\n
2022-01-27 00:00:15	06	11,27	 	7,58	9,99	12,25	7,58	9,94	12,63	255	238	250	260	238	255	268	12,63	255	0	-0,87	-9,95	A	$PBMWV,255,R,5,8,M,A*3D\r\n
2022-01-27 00:00:30	06	10,11	 	7,58	10,08	12,25	7,58	10,00	12,63	255	238	251	260	238	255	268	12,63	255	0	-1,05	-10,02	A	$PBMWV,255,R,5,2,M,A*37\r\n
2022-01-27 00:00:45	06	10,11	 	7,58	10,02	12,25	7,58	10,01	12,63	261	238	252	262	238	255	268	12,63	255	0	-1,22	-9,94	A	$PBMWV,261,R,5,2,M,A*30\r\n
2022-01-27 00:01:00	06	11,66	 	7,58	10,19	12,25	7,58	10,03	12,63	255	238	252	262	238	255	268	12,63	255	0	-1,24	-10,11	A	$PBMWV,255,R,6,0,M,A*36\r\n
2022-01-27 00:01:15	06	12,05	 	7,58	10,42	12,44	7,58	10,06	12,63	263	238	254	263	238	255	268	12,63	255	0	-1,63	-10,30	A	$PBMWV,263,R,6,2,M,A*31\r\n
2022-01-27 00:01:30	06	10,11	 	7,78	10,73	12,44	7,58	10,06	12,63	252	238	254	263	238	255	268	12,63	255	0	-1,68	-10,59	A	$PBMWV,252,R,5,2,M,A*30\r\n
2022-01-27 00:01:45	06	10,30	 	8,94	10,71	12,44	7,58	10,05	12,63	249	238	254	263	238	255	268	12,63	255	0	-1,68	-10,58	A	$PBMWV,249,R,5,3,M,A*3B\r\n
2022-01-27 00:02:00	06	10,89	 	8,94	10,67	12,44	7,58	10,07	12,63	257	238	255	263	238	255	268	12,63	255	0	-1,85	-10,51	A	$PBMWV,257,R,5,6,M,A*31\r\n
2022-01-27 00:02:15	06	7,97	 	7,97	10,58	12,44	7,58	10,07	12,63	250	247	256	263	238	255	268	12,63	255	0	-2,02	-10,39	A	$PBMWV,250,R,4,1,M,A*30\r\n
2022-01-27 00:02:30	06	10,11	 	7,97	10,46	12,44	7,58	10,07	12,63	267	247	256	267	238	255	268	12,63	255	0	-2,00	-10,27	A	$PBMWV,267,R,5,2,M,A*36\r\n
2022-01-27 00:02:45	06	12,25	 	7,97	10,90	14,38	7,58	10,16	14,38	263	247	256	267	238	255	268	14,38	253	0	-2,08	-10,70	A	$PBMWV,263,R,6,3,M,A*30\r\n
2022-01-27 00:03:00	06	12,44	 	7,97	11,05	14,38	7,58	10,24	14,38	257	247	256	267	238	255	268	14,38	253	0	-2,11	-10,85	A	$PBMWV,257,R,6,4,M,A*30\r\n
2022-01-27 00:03:15	06	13,02	 	7,97	11,25	14,38	7,58	10,35	14,38	261	247	256	267	238	255	268	14,38	253	0	-2,15	-11,04	A	$PBMWV,261,R,6,7,M,A*36\r\n
2022-01-27 00:03:30	06	11,08	 	7,97	11,35	14,38	7,58	10,42	14,38	260	247	256	267	238	255	268	14,38	253	0	-2,17	-11,14	A	$PBMWV,260,R,5,7,M,A*34\r\n
2022-01-27 00:03:45	06	12,63	 	7,97	11,64	14,38	7,58	10,50	14,38	256	249	257	267	238	255	268	14,38	253	0	-2,42	-11,38	A	$PBMWV,256,R,6,5,M,A*30\r\n
2022-01-27 00:04:00	06	12,83	 	7,97	11,85	14,38	7,58	10,58	14,38	252	249	257	267	238	255	268	14,38	253	0	-2,46	-11,59	A	$PBMWV,252,R,6,6,M,A*37\r\n
2022-01-27 00:04:15	06	11,86	 	8,16	12,09	14,38	7,58	10,62	14,38	255	249	257	267	238	255	268	14,38	253	0	-2,51	-11,82	A	$PBMWV,255,R,6,1,M,A*37\r\n
2022-01-27 00:04:30	06	10,50	 	10,11	12,24	14,38	7,58	10,63	14,38	252	250	257	263	238	255	268	14,38	253	0	-2,55	-11,97	A	$PBMWV,252,R,5,4,M,A*36\r\n
