CREATEDATE	SITE	WSINS (KT)	ST	WS2M (KT)	WS2A (KT)	WS2X (KT)	WS10M (KT)	WS10A (KT)	WS10X (KT)	WDINS	WD2M	WD2A	WD2X	WD10M	WD10A	WD10X	GUST_SPEED (KT)	GUST_DIR	WDVAR	CW2A (KT)	HW2A (KT)	STATUS	WIND DATA
2022-01-29 00:00:00	12	7,00	 	5,44	6,48	7,78	5,25	6,91	8,75	227	220	226	231	219	226	238	8,75	226	0	6,40	1,98	A	$PDMWV,227,R,3,6,M,A*36\r\n
2022-01-29 00:00:15	12	6,03	 	5,44	6,48	7,78	5,25	6,92	8,75	222	216	225	231	216	226	238	8,75	226	0	6,42	1,98	A	$PDMWV,222,R,3,1,M,A*34\r\n
2022-01-29 00:00:30	12	7,97	 	5,44	6,64	8,55	5,25	6,94	8,75	226	216	225	231	216	226	238	8,75	226	0	6,58	1,99	A	$PDMWV,226,R,4,1,M,A*37\r\n
2022-01-29 00:00:45	12	6,80	 	5,44	6,73	8,55	5,25	6,94	8,75	226	216	224	229	216	226	238	8,75	226	0	6,68	1,99	A	$PDMWV,226,R,3,5,M,A*34\r\n
2022-01-29 00:01:00	12	7,00	 	6,03	6,82	8,55	5,25	6,94	8,75	226	216	224	229	216	226	238	8,75	226	0	6,77	1,84	A	$PDMWV,226,R,3,6,M,A*37\r\n
2022-01-29 00:01:15	12	6,80	 	6,03	6,92	8,55	5,25	6,95	8,75	227	216	225	229	216	226	238	8,75	226	0	6,85	1,83	A	$PDMWV,227,R,3,5,M,A*35\r\n
2022-01-29 00:01:30	12	7,19	 	6,03	7,02	8,55	5,25	6,95	8,55	224	216	225	229	216	226	238	8,55	225	0	6,95	1,81	A	$PDMWV,224,R,3,7,M,A*34\r\n
2022-01-29 00:01:45	12	7,00	 	6,03	6,99	8,55	5,25	6,92	8,55	227	216	225	229	216	226	238	8,55	225	0	6,92	1,82	A	$PDMWV,227,R,3,6,M,A*36\r\n
2022-01-29 00:02:00	12	7,00	 	6,03	7,00	8,55	5,25	6,91	8,55	228	216	225	229	216	226	238	8,55	225	0	6,93	1,84	A	$PDMWV,228,R,3,6,M,A*39\r\n
2022-01-29 00:02:15	12	6,61	 	6,22	7,00	8,55	5,25	6,90	8,55	223	221	226	229	216	226	238	8,55	225	0	6,92	1,96	A	$PDMWV,223,R,3,4,M,A*30\r\n
2022-01-29 00:02:30	12	6,41	 	6,22	6,89	7,58	5,44	6,93	8,55	219	219	225	229	216	226	238	8,55	225	0	6,82	1,85	A	$PDMWV,219,R,3,3,M,A*3E\r\n
2022-01-29 00:02:45	12	6,61	 	6,22	6,82	7,39	5,44	6,92	8,55	223	219	225	229	216	226	238	8,55	225	0	6,75	1,97	A	$PDMWV,223,R,3,4,M,A*30\r\n
2022-01-29 00:03:00	12	7,97	 	6,22	6,92	7,97	5,44	6,93	8,55	227	219	225	229	216	226	238	8,55	225	0	6,85	2,10	A	$PDMWV,227,R,4,1,M,A*36\r\n
2022-01-29 00:03:15	12	6,80	 	6,22	6,96	8,16	5,44	6,94	8,55	223	219	225	234	216	226	238	8,55	225	0	6,89	2,24	A	$PDMWV,223,R,3,5,M,A*31\r\n
2022-01-29 00:03:30	12	6,80	 	6,22	6,95	8,16	5,44	6,94	8,55	222	219	225	234	216	226	238	8,55	225	0	6,88	2,25	A	$PDMWV,222,R,3,5,M,A*30\r\n
2022-01-29 00:03:45	12	6,80	 	6,22	6,95	8,16	5,44	6,92	8,55	221	219	224	234	216	225	238	8,55	225	0	6,90	2,16	A	$PDMWV,221,R,3,5,M,A*33\r\n
2022-01-29 00:04:00	12	7,58	 	6,22	6,96	8,16	5,44	6,91	8,55	224	219	224	234	216	225	238	8,55	225	0	6,91	2,30	A	$PDMWV,224,R,3,9,M,A*3A\r\n
2022-01-29 00:04:15	12	7,39	 	6,41	7,05	8,16	5,44	6,91	8,55	220	219	223	234	216	225	238	8,55	225	0	7,01	2,29	A	$PDMWV,220,R,3,8,M,A*3F\r\n
2022-01-29 00:04:30	12	7,58	 	6,41	7,10	8,16	5,44	6,91	8,55	222	220	223	234	216	225	238	8,55	225	0	7,07	2,29	A	$PDMWV,222,R,3,9,M,A*3C\r\n
2022-01-29 00:04:45	12	7,58	 	6,80	7,19	8,16	5,44	6,91	8,55	226	218	223	234	216	225	238	8,55	225	0	7,15	2,28	A	$PDMWV,226,R,3,9,M,A*38\r\n
2022-01-29 00:05:00	12	7,58	 	6,80	7,20	8,16	5,44	6,92	8,55	221	218	223	234	216	225	238	8,55	225	0	7,16	2,26	A	$PDMWV,221,R,3,9,M,A*3F\r\n
2022-01-29 00:05:15	12	7,78	 	6,80	7,19	7,78	5,44	6,92	8,55	228	217	222	228	216	225	238	8,55	225	0	7,16	2,15	A	$PDMWV,228,R,4,0,M,A*38\r\n
2022-01-29 00:05:30	12	6,80	 	6,03	7,14	7,78	5,44	6,91	8,55	222	217	222	228	216	225	238	8,55	225	0	7,12	2,30	A	$PDMWV,222,R,3,5,M,A*30\r\n
2022-01-29 00:05:45	12	6,80	 	6,03	7,15	7,78	5,44	6,92	8,55	221	217	222	228	216	225	238	8,55	225	0	7,13	2,31	A	$PDMWV,221,R,3,5,M,A*33\r\n
2022-01-29 00:06:00	12	8,36	 	6,03	7,22	8,36	5,44	6,92	8,55	224	217	222	228	216	224	234	8,55	225	0	7,19	2,34	A	$PDMWV,224,R,4,3,M,A*37\r\n
2022-01-29 00:06:15	12	7,00	 	6,03	7,23	8,36	5,44	6,92	8,55	219	217	222	228	216	224	234	8,55	225	0	7,20	2,38	A	$PDMWV,219,R,3,6,M,A*3B\r\n
2022-01-29 00:06:30	12	8,16	 	6,03	7,23	8,36	5,44	6,93	8,55	226	217	222	228	216	224	234	8,55	225	0	7,20	2,54	A	$PDMWV,226,R,4,2,M,A*34\r\n
2022-01-29 00:06:45	12	7,19	 	6,03	7,23	8,36	5,44	6,95	8,55	216	216	221	228	216	224	234	8,55	225	0	7,21	2,56	A	$PDMWV,216,R,3,7,M,A*35\r\n
2022-01-29 00:07:00	12	7,00	 	6,03	7,15	8,36	5,44	6,94	8,55	221	216	221	228	216	224	234	8,55	225	0	7,14	2,50	A	$PDMWV,221,R,3,6,M,A*30\r\n
2022-01-29 00:07:15	12	7,19	 	6,03	7,10	8,36	5,44	6,93	8,55	220	216	221	226	216	224	234	8,55	225	0	7,08	2,68	A	$PDMWV,220,R,3,7,M,A*30\r\n
2022-01-29 00:07:30	12	7,39	 	6,22	7,16	8,36	5,44	6,94	8,55	219	216	220	226	216	224	234	8,55	225	0	7,15	2,53	A	$PDMWV,219,R,3,8,M,A*35\r\n
2022-01-29 00:07:45	12	8,16	 	6,22	7,25	8,36	5,44	6,97	8,55	223	216	220	226	216	223	234	8,55	225	0	7,24	2,56	A	$PDMWV,223,R,4,2,M,A*31\r\n
2022-01-29 00:08:00	12	6,61	 	6,22	7,20	8,16	5,44	6,97	8,55	223	216	219	226	216	223	234	8,55	225	0	7,19	2,58	A	$PDMWV,223,R,3,4,M,A*30\r\n
2022-01-29 00:08:15	12	6,22	 	6,22	7,12	8,16	5,44	6,98	8,55	218	216	219	226	216	223	234	8,55	225	0	7,11	2,57	A	$PDMWV,218,R,3,2,M,A*3E\r\n
2022-01-29 00:08:30	12	7,39	 	6,22	7,12	8,16	5,44	7,00	8,55	221	216	219	223	216	223	234	8,55	225	0	7,12	2,59	A	$PDMWV,221,R,3,8,M,A*3E\r\n
2022-01-29 00:08:45	12	7,39	 	6,22	7,11	8,16	5,44	7,02	8,55	218	216	219	223	216	223	234	8,55	225	0	7,11	2,63	A	$PDMWV,218,R,3,8,M,A*34\r\n
2022-01-29 00:09:00	12	6,80	 	6,22	7,12	8,16	6,03	7,04	8,55	220	215	219	223	215	222	234	8,55	225	0	7,11	2,78	A	$PDMWV,220,R,3,5,M,A*32\r\n
2022-01-29 00:09:15	12	6,80	 	6,22	7,13	8,16	6,03	7,06	8,55	217	215	218	223	215	222	234	8,55	225	0	7,13	2,78	A	$PDMWV,217,R,3,5,M,A*36\r\n
2022-01-29 00:09:30	12	7,39	 	6,22	7,13	8,16	6,03	7,08	8,55	218	213	218	223	213	222	234	8,55	225	0	7,13	2,83	A	$PDMWV,218,R,3,8,M,A*34\r\n
2022-01-29 00:09:45	12	6,80	 	6,22	7,04	7,78	6,03	7,08	8,55	217	213	218	223	213	222	234	8,55	225	0	7,04	2,79	A	$PDMWV,217,R,3,5,M,A*36\r\n
2022-01-29 00:10:00	12	7,00	 	6,03	6,95	7,78	6,03	7,07	8,55	217	213	218	223	213	222	234	8,55	225	0	6,95	2,78	A	$PDMWV,217,R,3,6,M,A*35\r\n
2022-01-29 00:10:15	12	7,78	 	6,03	7,01	7,78	6,03	7,08	8,55	218	213	218	224	213	222	234	8,55	225	0	7,01	2,80	A	$PDMWV,218,R,4,0,M,A*3B\r\n
2022-01-29 00:10:30	12	7,78	 	6,03	7,04	7,78	6,03	7,08	8,36	215	213	217	224	213	221	234	8,36	224	0	7,04	2,62	A	$PDMWV,215,R,4,0,M,A*36\r\n
