CREATEDATE	SITE	WSINS (KT)	ST	WS2M (KT)	WS2A (KT)	WS2X (KT)	WS10M (KT)	WS10A (KT)	WS10X (KT)	WDINS	WD2M	WD2A	WD2X	WD10M	WD10A	WD10X	GUST_SPEED (KT)	GUST_DIR	WDVAR	CW2A (KT)	HW2A (KT)	STATUS	WIND DATA
2022-01-27 00:00:00	12	13,80	 	8,55	11,04	13,80	8,16	10,96	14,58	256	242	252	259	242	255	270	14,58	257	0	9,04	5,63	A	$PDMWV,256,R,7,1,M,A*33\r\n
2022-01-27 00:00:15	12	11,27	 	8,55	11,22	13,80	8,16	11,01	14,58	253	242	252	259	242	255	270	14,58	257	0	9,19	5,45	A	$PDMWV,253,R,5,8,M,A*3D\r\n
2022-01-27 00:00:30	12	11,66	 	8,55	11,31	13,80	8,16	11,06	14,58	253	242	253	262	242	255	270	14,58	257	0	9,15	5,33	A	$PDMWV,253,R,6,0,M,A*36\r\n
2022-01-27 00:00:45	12	10,89	 	8,55	11,38	13,80	8,16	11,09	14,58	259	242	252	262	242	255	270	14,58	257	0	9,32	5,19	A	$PDMWV,259,R,5,6,M,A*39\r\n
2022-01-27 00:01:00	12	11,27	 	8,55	11,47	13,80	8,16	11,12	14,58	252	242	253	262	242	255	270	14,58	257	0	9,28	5,14	A	$PDMWV,252,R,5,8,M,A*3C\r\n
2022-01-27 00:01:15	12	11,08	 	8,55	11,60	13,80	8,16	11,12	14,58	255	246	253	262	242	255	270	14,58	257	0	9,38	4,99	A	$PDMWV,255,R,5,7,M,A*34\r\n
2022-01-27 00:01:30	12	11,47	 	8,55	11,68	13,80	8,16	11,14	14,58	250	246	254	262	242	255	270	14,58	257	0	9,33	5,39	A	$PDMWV,250,R,5,9,M,A*3F\r\n
2022-01-27 00:01:45	12	12,44	 	10,30	11,94	13,80	8,16	11,20	14,58	255	246	254	262	242	255	270	14,58	257	0	9,54	5,63	A	$PDMWV,255,R,6,4,M,A*34\r\n
2022-01-27 00:02:00	12	13,41	 	10,30	12,03	13,61	8,16	11,24	14,58	252	246	254	262	242	255	270	14,58	257	0	9,61	6,04	A	$PDMWV,252,R,6,9,M,A*3E\r\n
2022-01-27 00:02:15	12	11,66	 	10,30	12,10	14,00	8,16	11,27	14,58	252	246	254	262	242	255	270	14,58	257	0	9,66	6,35	A	$PDMWV,252,R,6,0,M,A*37\r\n
2022-01-27 00:02:30	12	11,66	 	10,30	12,13	14,00	8,16	11,29	14,58	256	246	253	259	242	254	270	14,58	257	0	9,81	6,72	A	$PDMWV,256,R,6,0,M,A*33\r\n
2022-01-27 00:02:45	12	11,66	 	10,30	12,16	14,00	8,16	11,30	14,58	256	246	254	260	242	254	270	14,58	257	0	9,71	7,01	A	$PDMWV,256,R,6,0,M,A*33\r\n
2022-01-27 00:03:00	12	11,66	 	10,30	12,09	14,00	8,16	11,35	14,58	258	246	254	260	242	254	268	14,58	257	0	9,66	7,37	A	$PDMWV,258,R,6,0,M,A*3D\r\n
2022-01-27 00:03:15	12	9,91	 	9,33	11,97	14,00	8,36	11,35	14,58	256	248	254	261	242	254	268	14,58	257	0	9,56	7,33	A	$PDMWV,256,R,5,1,M,A*31\r\n
2022-01-27 00:03:30	12	12,83	 	9,33	11,74	14,00	8,36	11,38	14,58	258	248	255	261	242	254	268	14,58	257	0	9,25	7,36	A	$PDMWV,258,R,6,6,M,A*3B\r\n
2022-01-27 00:03:45	12	13,80	 	9,33	11,76	14,00	8,36	11,46	14,58	265	248	256	265	242	255	268	14,58	257	0	9,14	7,41	A	$PDMWV,265,R,7,1,M,A*33\r\n
