CREATEDATE	SITE	PA_INS (HPA)	ST	PA_QNH (HPA)	ST	PA_QFE_AD (HPA)	ST	PA_QFF (HPA)	ST	TL	ST	ALT (FT)	ST	PA_QFESYNOP (HPA)	ST	PA_QFE_TDZ24 (HPA)	ST	PA_QFE_TDZ06 (HPA)	ST	PA_QFE_TDZ31 (HPA)	ST	PA_QFE_TDZ13 (HPA)	ST	QFESYNOP3H (HPA)	ST	QFESYNOPT (HPA)	ST
2022-01-08 00:00:00	AD	969,80	 	1012,87	 	968,47	 	1015,06	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-1,00	 	8	 
2022-01-08 00:01:00	AD	969,90	 	1012,97	 	968,57	 	1015,15	 	70	 	 	 	969,90	 	971,38	 	969,73	 	968,63	 	971,28	 	-1,00	 	8	 
2022-01-08 00:02:00	AD	969,90	 	1012,97	 	968,57	 	1015,15	 	70	 	 	 	969,90	 	971,38	 	969,73	 	968,63	 	971,28	 	-0,80	 	8	 
2022-01-08 00:03:00	AD	969,90	 	1012,97	 	968,57	 	1015,15	 	70	 	 	 	969,90	 	971,38	 	969,73	 	968,63	 	971,28	 	-0,80	 	8	 
2022-01-08 00:04:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:05:00	AD	969,80	 	1012,87	 	968,47	 	1015,06	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:06:00	AD	969,80	 	1012,87	 	968,47	 	1015,06	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:07:00	AD	969,80	 	1012,87	 	968,47	 	1015,06	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:08:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:09:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:10:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:11:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:12:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:13:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:14:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:15:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:16:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:17:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:18:00	AD	969,70	 	1012,77	 	968,37	 	1014,94	 	70	 	 	 	969,70	 	971,18	 	969,53	 	968,43	 	971,08	 	-0,80	 	8	 
2022-01-08 00:19:00	AD	969,70	 	1012,77	 	968,37	 	1014,94	 	70	 	 	 	969,70	 	971,18	 	969,53	 	968,43	 	971,08	 	-0,80	 	8	 
2022-01-08 00:20:00	AD	969,70	 	1012,77	 	968,37	 	1014,94	 	70	 	 	 	969,70	 	971,18	 	969,53	 	968,43	 	971,08	 	-0,80	 	8	 
2022-01-08 00:21:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,80	 	8	 
2022-01-08 00:22:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,90	 	8	 
2022-01-08 00:23:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,90	 	8	 
2022-01-08 00:24:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,90	 	8	 
2022-01-08 00:25:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,90	 	8	 
2022-01-08 00:26:00	AD	969,80	 	1012,87	 	968,47	 	1015,04	 	70	 	 	 	969,80	 	971,28	 	969,63	 	968,53	 	971,18	 	-0,90	 	8	 
2022-01-08 00:27:00	AD	969,70	 	1012,77	 	968,37	 	1014,94	 	70	 	 	 	969,70	 	971,18	 	969,53	 	968,43	 	971,08	 	-0,90	 	8	 
2022-01-08 00:28:00	AD	969,70	 	1012,77	 	968,37	 	1014,94	 	70	 	 	 	969,70	 	971,18	 	969,53	 	968,43	 	971,08	 	-0,90	 	8	 
2022-01-08 00:29:00	AD	969,70	 	1012,77	 	968,37	 	1014,94	 	70	 	 	 	969,70	 	971,18	 	969,53	 	968,43	 	971,08	 	-0,90	 	8	 
2022-01-08 00:30:00	AD	969,70	 	1012,77	 	968,37	 	1014,94	 	70	 	 	 	969,70	 	971,18	 	969,53	 	968,43	 	971,08	 	-0,90	 	8	 
2022-01-08 00:31:00	AD	969,60	 	1012,66	 	968,27	 	1014,83	 	70	 	 	 	969,60	 	971,08	 	969,43	 	968,33	 	970,98	 	-0,90	 	8	 
2022-01-08 00:32:00	AD	969,60	 	1012,66	 	968,27	 	1014,83	 	70	 	 	 	969,60	 	971,08	 	969,43	 	968,33	 	970,98	 	-1,00	 	8	 
2022-01-08 00:33:00	AD	969,60	 	1012,66	 	968,27	 	1014,83	 	70	 	 	 	969,60	 	971,08	 	969,43	 	968,33	 	970,98	 	-1,00	 	8	 
2022-01-08 00:34:00	AD	969,60	 	1012,66	 	968,27	 	1014,82	 	70	 	 	 	969,60	 	971,08	 	969,43	 	968,33	 	970,98	 	-1,00	 	8	 
2022-01-08 00:35:00	AD	969,60	 	1012,66	 	968,27	 	1014,82	 	70	 	 	 	969,60	 	971,08	 	969,43	 	968,33	 	970,98	 	-1,00	 	8	 
2022-01-08 00:36:00	AD	969,70	 	1012,77	 	968,37	 	1014,92	 	70	 	 	 	969,70	 	971,18	 	969,53	 	968,43	 	971,08	 	-1,00	 	8	 
2022-01-08 00:37:00	AD	969,60	 	1012,66	 	968,27	 	1014,82	 	70	 	 	 	969,60	 	971,08	 	969,43	 	968,33	 	970,98	 	-1,00	 	8	 
2022-01-08 00:38:00	AD	969,60	 	1012,66	 	968,27	 	1014,82	 	70	 	 	 	969,60	 	971,08	 	969,43	 	968,33	 	970,98	 	-1,00	 	8	 
2022-01-08 00:39:00	AD	969,60	 	1012,66	 	968,27	 	1014,82	 	70	 	 	 	969,60	 	971,08	 	969,43	 	968,33	 	970,98	 	-1,00	 	8	 
2022-01-08 00:40:00	AD	969,60	 	1012,66	 	968,27	 	1014,82	 	70	 	 	 	969,60	 	971,08	 	969,43	 	968,33	 	970,98	 	-1,00	 	8	 
2022-01-08 00:41:00	AD	969,60	 	1012,66	 	968,27	 	1014,82	 	70	 	 	 	969,60	 	971,08	 	969,43	 	968,33	 	970,98	 	-1,00	 	8	 
