CREATEDATE	SITE	PA_INS (HPA)	ST	PA_QNH (HPA)	ST	PA_QFE_AD (HPA)	ST	PA_QFF (HPA)	ST	TL	ST	ALT (FT)	ST	PA_QFESYNOP (HPA)	ST	PA_QFE_TDZ24 (HPA)	ST	PA_QFE_TDZ06 (HPA)	ST	PA_QFE_TDZ31 (HPA)	ST	PA_QFE_TDZ13 (HPA)	ST	QFESYNOP3H (HPA)	ST	QFESYNOPT (HPA)	ST
28.1.2022 0:00	AD	974,4	 	1017,64	 	973,07	 	1019,57	 	60	 	 	 	974,4	 	975,88	 	974,23	 	973,13	 	975,78	 	0,2	 	2	 
28.1.2022 0:01	AD	974,4	 	1017,64	 	973,07	 	1019,57	 	60	 	 	 	974,4	 	975,88	 	974,23	 	973,13	 	975,78	 	0,2	 	2	 
28.1.2022 0:02	AD	974,5	 	1017,74	 	973,17	 	1019,67	 	60	 	 	 	974,5	 	975,98	 	974,33	 	973,23	 	975,88	 	0,2	 	2	 
28.1.2022 0:03	AD	974,5	 	1017,74	 	973,17	 	1019,67	 	60	 	 	 	974,5	 	975,98	 	974,33	 	973,23	 	975,88	 	0,2	 	2	 
28.1.2022 0:04	AD	974,4	 	1017,64	 	973,07	 	1019,59	 	60	 	 	 	974,4	 	975,88	 	974,23	 	973,13	 	975,78	 	0,6	 	1	 
28.1.2022 0:05	AD	974,4	 	1017,64	 	973,07	 	1019,59	 	60	 	 	 	974,4	 	975,88	 	974,23	 	973,13	 	975,78	 	0,6	 	1	 
28.1.2022 0:06	AD	974,5	 	1017,74	 	973,17	 	1019,69	 	60	 	 	 	974,5	 	975,98	 	974,33	 	973,23	 	975,88	 	0,6	 	1	 
28.1.2022 0:07	AD	974,4	 	1017,64	 	973,07	 	1019,59	 	60	 	 	 	974,4	 	975,88	 	974,23	 	973,13	 	975,78	 	0,6	 	1	 
28.1.2022 0:08	AD	974,5	 	1017,74	 	973,17	 	1019,67	 	60	 	 	 	974,5	 	975,98	 	974,33	 	973,23	 	975,88	 	0,6	 	1	 
28.1.2022 0:09	AD	974,5	 	1017,74	 	973,17	 	1019,66	 	60	 	 	 	974,5	 	975,97	 	974,33	 	973,24	 	975,88	 	0,6	 	1	 
