CREATEDATE	SITE	PA_INS (HPA)	ST	PA_QNH (HPA)	ST	PA_QFE_AD (HPA)	ST	PA_QFF (HPA)	ST	TL	ST	ALT (FT)	ST	PA_QFESYNOP (HPA)	ST	PA_QFE_TDZ24 (HPA)	ST	PA_QFE_TDZ06 (HPA)	ST	PA_QFE_TDZ31 (HPA)	ST	PA_QFE_TDZ13 (HPA)	ST	QFESYNOP3H (HPA)	ST	QFESYNOPT (HPA)	ST
2022-01-07 00:00:00	AD	976,90	 	1020,23	 	975,54	 	1023,19	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,10	 	8	 
2022-01-07 00:01:00	AD	976,90	 	1020,23	 	975,54	 	1023,19	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,10	 	8	 
2022-01-07 00:02:00	AD	976,90	 	1020,23	 	975,54	 	1023,19	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,40	 	8	 
2022-01-07 00:03:00	AD	976,90	 	1020,23	 	975,54	 	1023,19	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,40	 	8	 
2022-01-07 00:04:00	AD	977,00	 	1020,33	 	975,64	 	1023,29	 	60	 	 	 	977,00	 	978,51	 	976,83	 	975,70	 	978,42	 	-0,40	 	8	 
2022-01-07 00:05:00	AD	977,00	 	1020,33	 	975,64	 	1023,29	 	60	 	 	 	977,00	 	978,51	 	976,83	 	975,70	 	978,42	 	-0,40	 	8	 
2022-01-07 00:06:00	AD	976,90	 	1020,23	 	975,54	 	1023,19	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,40	 	8	 
2022-01-07 00:07:00	AD	976,90	 	1020,23	 	975,54	 	1023,19	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,40	 	8	 
2022-01-07 00:08:00	AD	976,90	 	1020,23	 	975,54	 	1023,20	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,40	 	8	 
2022-01-07 00:09:00	AD	976,90	 	1020,23	 	975,54	 	1023,20	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,40	 	8	 
2022-01-07 00:10:00	AD	976,90	 	1020,23	 	975,54	 	1023,20	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,40	 	8	 
2022-01-07 00:11:00	AD	976,90	 	1020,23	 	975,54	 	1023,20	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,40	 	8	 
2022-01-07 00:12:00	AD	976,90	 	1020,23	 	975,54	 	1023,22	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,30	 	8	 
2022-01-07 00:13:00	AD	976,80	 	1020,12	 	975,44	 	1023,12	 	60	 	 	 	976,80	 	978,31	 	976,63	 	975,50	 	978,22	 	-0,30	 	8	 
2022-01-07 00:14:00	AD	976,80	 	1020,12	 	975,44	 	1023,10	 	60	 	 	 	976,80	 	978,31	 	976,63	 	975,50	 	978,22	 	-0,30	 	8	 
2022-01-07 00:15:00	AD	976,80	 	1020,12	 	975,44	 	1023,10	 	60	 	 	 	976,80	 	978,31	 	976,63	 	975,50	 	978,22	 	-0,30	 	8	 
2022-01-07 00:16:00	AD	976,80	 	1020,12	 	975,44	 	1023,12	 	60	 	 	 	976,80	 	978,31	 	976,63	 	975,50	 	978,22	 	-0,30	 	8	 
2022-01-07 00:17:00	AD	976,80	 	1020,12	 	975,44	 	1023,12	 	60	 	 	 	976,80	 	978,31	 	976,63	 	975,50	 	978,22	 	-0,30	 	8	 
2022-01-07 00:18:00	AD	976,80	 	1020,12	 	975,44	 	1023,12	 	60	 	 	 	976,80	 	978,31	 	976,63	 	975,50	 	978,22	 	-0,30	 	8	 
2022-01-07 00:19:00	AD	976,80	 	1020,12	 	975,44	 	1023,12	 	60	 	 	 	976,80	 	978,31	 	976,63	 	975,50	 	978,22	 	-0,30	 	8	 
2022-01-07 00:20:00	AD	976,80	 	1020,12	 	975,44	 	1023,12	 	60	 	 	 	976,80	 	978,31	 	976,63	 	975,50	 	978,22	 	-0,30	 	8	 
2022-01-07 00:21:00	AD	976,90	 	1020,23	 	975,54	 	1023,24	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,30	 	8	 
2022-01-07 00:22:00	AD	976,90	 	1020,23	 	975,54	 	1023,26	 	60	 	 	 	976,90	 	978,41	 	976,73	 	975,60	 	978,32	 	-0,30	 	8	 
