CREATEDATE	SITE	PA_INS (HPA)	ST	PA_QNH (HPA)	ST	PA_QFE_AD (HPA)	ST	PA_QFF (HPA)	ST	TL	ST	ALT (FT)	ST	PA_QFESYNOP (HPA)	ST	PA_QFE_TDZ24 (HPA)	ST	PA_QFE_TDZ06 (HPA)	ST	PA_QFE_TDZ31 (HPA)	ST	PA_QFE_TDZ13 (HPA)	ST	QFESYNOP3H (HPA)	ST	QFESYNOPT (HPA)	ST
2022-01-30 00:00:00	AD	970,90	 	1014,01	 	969,60	 	1015,18	 	60	 	 	 	970,90	 	972,35	 	970,73	 	969,66	 	972,26	 	-0,10	 	5	 
2022-01-30 00:01:00	AD	971,10	 	1014,22	 	969,80	 	1015,39	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,46	 	-0,10	 	5	 
2022-01-30 00:02:00	AD	971,10	 	1014,22	 	969,80	 	1015,39	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,46	 	-0,10	 	5	 
2022-01-30 00:03:00	AD	971,00	 	1014,11	 	969,70	 	1015,29	 	60	 	 	 	971,00	 	972,45	 	970,83	 	969,76	 	972,36	 	-0,10	 	5	 
2022-01-30 00:04:00	AD	971,10	 	1014,22	 	969,79	 	1015,41	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,46	 	0,00	 	5	 
2022-01-30 00:05:00	AD	971,10	 	1014,22	 	969,79	 	1015,41	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,46	 	0,00	 	5	 
2022-01-30 00:06:00	AD	971,10	 	1014,22	 	969,79	 	1015,41	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,46	 	0,00	 	5	 
2022-01-30 00:07:00	AD	971,10	 	1014,22	 	969,80	 	1015,39	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,46	 	0,00	 	5	 
2022-01-30 00:08:00	AD	971,10	 	1014,22	 	969,80	 	1015,39	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,46	 	0,00	 	5	 
2022-01-30 00:09:00	AD	971,20	 	1014,32	 	969,89	 	1015,50	 	60	 	 	 	971,20	 	972,65	 	971,03	 	969,96	 	972,56	 	0,00	 	5	 
2022-01-30 00:10:00	AD	971,20	 	1014,32	 	969,89	 	1015,51	 	60	 	 	 	971,20	 	972,65	 	971,03	 	969,96	 	972,56	 	0,00	 	5	 
2022-01-30 00:11:00	AD	970,90	 	1014,01	 	969,59	 	1015,23	 	60	 	 	 	970,90	 	972,35	 	970,73	 	969,66	 	972,26	 	0,00	 	5	 
2022-01-30 00:12:00	AD	971,20	 	1014,32	 	969,89	 	1015,53	 	60	 	 	 	971,20	 	972,65	 	971,03	 	969,96	 	972,56	 	0,00	 	5	 
2022-01-30 00:13:00	AD	971,20	 	1014,32	 	969,89	 	1015,50	 	60	 	 	 	971,20	 	972,65	 	971,03	 	969,96	 	972,56	 	0,00	 	5	 
2022-01-30 00:14:00	AD	971,20	 	1014,32	 	969,89	 	1015,53	 	60	 	 	 	971,20	 	972,65	 	971,03	 	969,96	 	972,56	 	0,40	 	3	 
2022-01-30 00:15:00	AD	971,20	 	1014,32	 	969,89	 	1015,53	 	60	 	 	 	971,20	 	972,65	 	971,03	 	969,96	 	972,56	 	0,40	 	3	 
2022-01-30 00:16:00	AD	971,20	 	1014,32	 	969,89	 	1015,53	 	60	 	 	 	971,20	 	972,65	 	971,03	 	969,96	 	972,56	 	0,40	 	3	 
2022-01-30 00:17:00	AD	971,10	 	1014,22	 	969,80	 	1015,39	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,46	 	0,40	 	3	 
2022-01-30 00:18:00	AD	971,00	 	1014,11	 	969,70	 	1015,29	 	60	 	 	 	971,00	 	972,45	 	970,83	 	969,76	 	972,36	 	0,40	 	3	 
2022-01-30 00:19:00	AD	971,30	 	1014,43	 	970,00	 	1015,58	 	60	 	 	 	971,30	 	972,75	 	971,13	 	970,06	 	972,66	 	0,40	 	3	 
2022-01-30 00:20:00	AD	971,10	 	1014,22	 	969,80	 	1015,37	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,45	 	0,40	 	3	 
2022-01-30 00:21:00	AD	971,00	 	1014,11	 	969,70	 	1015,27	 	60	 	 	 	971,00	 	972,45	 	970,83	 	969,76	 	972,35	 	0,40	 	3	 
2022-01-30 00:22:00	AD	971,20	 	1014,32	 	969,90	 	1015,46	 	60	 	 	 	971,20	 	972,65	 	971,03	 	969,96	 	972,55	 	0,40	 	3	 
2022-01-30 00:23:00	AD	971,30	 	1014,43	 	970,00	 	1015,57	 	60	 	 	 	971,30	 	972,75	 	971,13	 	970,06	 	972,65	 	0,40	 	3	 
2022-01-30 00:24:00	AD	971,00	 	1014,11	 	969,70	 	1015,29	 	60	 	 	 	971,00	 	972,45	 	970,83	 	969,76	 	972,36	 	0,60	 	3	 
2022-01-30 00:25:00	AD	971,10	 	1014,22	 	969,80	 	1015,36	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,45	 	0,60	 	3	 
2022-01-30 00:26:00	AD	971,10	 	1014,22	 	969,80	 	1015,34	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,45	 	0,60	 	3	 
2022-01-30 00:27:00	AD	971,00	 	1014,11	 	969,70	 	1015,25	 	60	 	 	 	971,00	 	972,45	 	970,83	 	969,76	 	972,35	 	0,60	 	3	 
2022-01-30 00:28:00	AD	971,10	 	1014,22	 	969,80	 	1015,34	 	60	 	 	 	971,10	 	972,55	 	970,93	 	969,86	 	972,45	 	0,60	 	3	 
2022-01-30 00:29:00	AD	971,20	 	1014,32	 	969,90	 	1015,43	 	60	 	 	 	971,20	 	972,64	 	971,03	 	969,96	 	972,55	 	0,60	 	3	 
